SIDAR E1
1      0      0
2      0.00320794      -0.0745553
3      0.00348389      -0.106655
4      0.00364047      -0.0739018
5      0.00341033      -0.052304
6      0.00311536      -0.11148
7      0.00352169      -0.0381623
8      0.00359994      -0.124839
9      0.00356046      -0.115562
10      0      0
11      0.00327256      -0.16905
12      0.00334023      -0.136707
13      0.00352169      -0.0945092
14      0.00320794      -0.138714
15      0.00334023      -0.150067
16      0.00334003      -0.118561
SIDAR E2
1      0.00352169      -0.17903
2      0.00334003      -0.0985207
3      0.00337496      -0.240137
4      0.00344676      -0.0999371
5      0.00337496      -0.219887
6      0.00352169      -0.122683
7      0.00320777      -0.1598
8      0.00334023      -0.19015
9      0.00348389      -0.134526
10      0.00330609      -0.110127
11      0.00305632      -0.154202
12      0.00320777      -0.127723
13      0.00327256      -0.136325
14      0.00320777      -0.0763983
15      0.00334003      -0.218762
16      0.00311536      -0.0803266
SIDAR E3
1      0.003375      -0.150208
2      0.00341055      -0.193619
3      0.00334003      -0.185361
4      0.00344676      -0.120618
5      0.00341055      -0.173155
6      0.00337496      -0.165888
7      0.00320777      -0.153385
8      0.00352169      -0.207203
9      0.00344676      -0.279169
10      0.00341055      -0.125408
11      0.003375      -0.237958
12      0.00348389      -0.190268
13      0.00334003      -0.165321
14      0.00320794      -0.113051
15      0.00330609      -0.268819
16      0.00334023      -0.210191
SIDAR E4
1      0.00334023      -0.143387
2      0.00337496      -0.179388
3      0.00341033      -0.229641
4      0.00359994      -0.240037
5      0.00344676      -0.244701
6      0.00352169      -0.17903
7      0.00364047      -0.306892
8      0.00356046      -0.108441
9      -0.00194464      8.52603
10      0.00359994      -0.211238
11      0.00323997      -0.212116
12      0.00334023      -0.203511
13      -0.00187061      8.44883
14      0.00334003      -0.245482
15      0.00344676      -0.258488
16      0.00356046      -0.17965
SIDAR E5
1      0.00341033      0.0636474
2      0.00359994      -0.00244137
3      0.00348366      -0.0528705
4      0.00352169      -0.136769
5      0.00341055      -0.132229
6      0.00352169      -0.0452056
7      0.00348366      -0.0319685
8      0.00311508      -0.100592
9      0.00327256      -0.0512381
10      0.00323997      -0.0436372
11      0.00344676      -0.175766
12      0.000700891      4.38811
13      0.00348389      -0.106655
14      0.00344676      -0.0172148
15      0.00348366      -0.115576
16      0.00352169      -0.0945092
SIDAR E6
1      0.00352169      -0.108596
2      0.00334023      -0.130026
3      0.00341055      -0.104944
4      0.00341033      -0.106869
5      0.00344676      -0.148192
6      0.00334003      -0.0450802
7      -0.00164626      8.03492
8      0.00334023      -0.00977793
9      0.00341033      -0.168255
10      0.00348389      -0.0648482
11      0.00317644      -0.113165
12      0.00334023      -0.156748
13      0.00341055      -0.118587
14      0.00334003      -0.0851606
15      0      0
16      0.00344676      -0.0654694
SIDAR dE1
1      0.000000 0.000000
2      0.001895 -0.059370
3      0.002090 -0.138069
4      0.002204 -0.086859
5      0.002234 -0.128381
6      0.002174 -0.051755
7      0.002219 -0.207424
8      0.002132 -0.156837
9      0.001062 2.792107
10     0.002037 -0.135787
11     0.002063 -0.128916
12     0.001987 -0.117221
13     0.001873 -0.058983
14     0.001906 -0.101014
15     0.001714 -0.039035
16     0.001770 -0.078419
SIDAR dE2
1      0.001714 -0.100749
2      0.001976 -0.040552
3      0.001976 -0.095870
4      0.002160 -0.098105
5      0.002137 -0.160060
6      0.001928 -0.168315
7      0.002024 -0.118963
8      0.001820 -0.105735
9      0.001975 -0.179677
10     0.001841 -0.125394
11     0.001855 -0.082425
12     0.001883 -0.138969
13     0.001670 -0.004832
14     0.001705 0.010477
15     0.001751 -0.046326
16     0.001557 0.039100
SIDAR dE3
1      0.001780 -0.017153
2      0.001952 -0.100879
3      0.002219 -0.057925
4      0.002131 -0.193897
5      0.002131 -0.091591
6      0.002025 -0.112637
7      0.002131 -0.057489
8      0.002077 -0.073310
9      0.002697 -0.398440
10     0.001862 -0.060176
11     0.001841 -0.045891
12     0.005998 -0.111841
13     0.001705 -0.072137
14     0.001636 -0.044140
15     0.001705 -0.051677
16     0.000797 2.803471
SIDAR dE4
1      0.000000 0.000000
2      0.002744 -0.219606
3      0.002250 -0.212182
4      0.002347 -0.145133
5      0.002219 -0.093432
6      0.002196 -0.154124
7      0.002050 -0.105764
8      0.002189 -0.172148
9      0.002282 -0.186609
10     0.002051 -0.145703
11     0.002025 -0.145035
12     0.001975 -0.118438
13     0.002025 -0.193631
14     0.001862 -0.068808
15     0.001848 -0.111029
16     0.000000 0.000000
SIDAR dE5
1      0.001780 -0.202260
2      0.002000 -0.166738
3      0.002131 -0.227999
4      0.002159 -0.282645
5      0.002189 -0.285974
6      0.002103 -0.233976
7      0.001999 -0.167826
8      0.002077 -0.172994
9      0.002042 -0.271344
10     0.001841 -0.168924
11     0.001884 -0.136760
12     0.000904 2.786779
13     0.001780 -0.202260
14     0.001742 -0.149734
15     0.001687 -0.192745
16     0.001619 -0.141211
SIDAR dE6
1      0.001723 -0.175609
2      0.001975 -0.205358
3      0.002132 -0.225702
4      0.002314 -0.208221
5      0.002287 -0.276134
6      0.002103 -0.208737
7      0.002131 -0.287677
8      0.002131 -0.117167
9      0.002077 -0.206222
10     0.001975 -0.229064
11     0.001928 -0.262809
12     0.002000 -0.150738
13     0.001761 -0.214073
14     0.001800 -0.167849
15     0.001636 -0.168485
16     0.001653 -0.200558
